epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1150.52,1.70428,1.16458,1.47789,1,0.74398,0.83435,0.53317,1.31778,1.25143,2.08559,0.00154047,0.00154047,0.00154047
66,1168.17,1.62237,1.12609,1.51799,1,0.74331,0.83256,0.4471,1.43034,1.37217,2.25721,0.00152727,0.00152727,0.00152727
67,1186.22,1.78921,1.1898,1.56058,1,0.74139,0.85249,0.47584,1.43638,1.25338,2.24069,0.00151395,0.00151395,0.00151395
68,1205.15,1.6778,1.11299,1.56378,1,0.74578,0.866,0.56256,1.26888,1.0359,2.02964,0.0015005,0.0015005,0.0015005
69,1222.48,1.69076,1.12289,1.5175,0.99283,0.66667,0.84379,0.42978,1.72667,1.51706,2.49492,0.00148694,0.00148694,0.00148694
70,1239.38,1.65771,1.09425,1.44812,0.97033,0.58333,0.7697,0.39571,1.84668,1.53777,2.5522,0.00147325,0.00147325,0.00147325
71,1255.84,1.59689,1.10048,1.4102,1,0.65602,0.72671,0.39815,1.65184,1.94628,2.46127,0.00145945,0.00145945,0.00145945
72,1273.17,1.66074,1.06012,1.47649,0.99414,0.66667,0.79762,0.44396,1.61487,1.51377,2.33912,0.00144554,0.00144554,0.00144554
73,1290.11,1.66136,0.99957,1.44532,0.87398,0.66667,0.78816,0.42299,1.55767,1.38311,2.23377,0.00143152,0.00143152,0.00143152
74,1308.31,1.55147,1.06075,1.48819,0.99465,0.66667,0.79599,0.39417,1.59577,1.41658,2.22233,0.0014174,0.0014174,0.0014174
75,1326.05,1.68945,1.05574,1.48566,1,0.74075,0.84478,0.41191,1.5996,1.46676,2.22442,0.00140318,0.00140318,0.00140318
76,1342.48,1.65811,1.03836,1.48194,1,0.7425,0.84631,0.3963,1.63484,1.4481,2.34019,0.00138886,0.00138886,0.00138886
77,1359.86,1.57531,1.08748,1.49663,1,0.65929,0.81648,0.43373,1.65441,1.31185,2.32513,0.00137444,0.00137444,0.00137444
78,1376.62,1.65159,1.07436,1.52556,1,0.65632,0.86473,0.47403,1.49732,1.22161,2.22503,0.00135994,0.00135994,0.00135994
79,1393.8,1.59689,1.05199,1.42853,1,0.73732,0.88945,0.50779,1.5595,1.21816,2.31405,0.00134535,0.00134535,0.00134535
80,1410.81,1.63638,1.06788,1.45291,1,0.83255,0.875,0.44432,1.66013,1.23034,2.54509,0.00133068,0.00133068,0.00133068
81,1428.85,1.56745,0.97148,1.40017,1,0.74959,0.85941,0.50694,1.53568,1.17734,2.50156,0.00131593,0.00131593,0.00131593
82,1447.45,1.64684,1.01063,1.50013,1,0.82148,0.879,0.60301,1.43623,0.94585,2.3926,0.0013011,0.0013011,0.0013011
83,1464.79,1.70762,1.0823,1.50319,1,0.82437,0.88389,0.59658,1.38672,0.89797,2.39187,0.0012862,0.0012862,0.0012862
84,1481.79,1.61762,1.05626,1.51818,0.90905,0.83297,0.86872,0.53128,1.48267,1.03783,2.46346,0.00127123,0.00127123,0.00127123
85,1498.64,1.67251,1.05981,1.47647,0.90904,0.83333,0.87598,0.50895,1.42493,1.1267,2.29426,0.0012562,0.0012562,0.0012562
86,1515.18,1.60109,1.0064,1.47182,0.90905,0.83293,0.89872,0.45835,1.63487,1.2146,2.38086,0.00124111,0.00124111,0.00124111
87,1534.08,1.69171,1.10876,1.49328,0.90873,0.83004,0.9206,0.408,1.82974,1.28771,2.59798,0.00122596,0.00122596,0.00122596
88,1551.19,1.57041,0.9892,1.40177,1,0.73121,0.9,0.35848,1.89589,1.38172,2.66238,0.00121076,0.00121076,0.00121076
89,1568.38,1.63361,1.07877,1.43803,0.82538,0.7896,0.85333,0.44507,1.74726,1.31172,2.45965,0.00119551,0.00119551,0.00119551
90,1585.58,1.60929,1.01377,1.42635,0.98578,0.66667,0.8137,0.4573,1.63715,1.3447,2.38077,0.00118021,0.00118021,0.00118021
91,1602.33,1.53406,0.97104,1.37682,1,0.74144,0.83138,0.46557,1.54815,1.66296,2.33222,0.00116487,0.00116487,0.00116487
92,1618.7,1.59473,0.92687,1.39433,0.99826,0.75,0.85528,0.47324,1.56169,1.30662,2.32203,0.00114949,0.00114949,0.00114949
93,1635.57,1.5424,0.98726,1.41338,0.99182,0.75,0.91153,0.52115,1.43681,1.08931,2.2749,0.00113408,0.00113408,0.00113408
94,1653.28,1.50501,0.92629,1.33642,0.90662,0.81067,0.91858,0.53888,1.45065,0.99843,2.24954,0.00111864,0.00111864,0.00111864
95,1671.03,1.6142,1.02429,1.46018,0.98944,0.75,0.91748,0.50782,1.48007,1.0728,2.25353,0.00110317,0.00110317,0.00110317
96,1688.04,1.53238,0.98067,1.41339,0.9076,0.8197,0.90179,0.54481,1.4879,1.1652,2.27351,0.00108767,0.00108767,0.00108767
97,1704.86,1.56768,0.99774,1.49953,0.9909,0.75,0.91313,0.52105,1.55025,1.19693,2.36359,0.00107216,0.00107216,0.00107216
98,1722.31,1.56109,0.94006,1.38585,0.99195,0.75,0.93348,0.52886,1.48516,1.06683,2.29321,0.00105664,0.00105664,0.00105664
99,1739.96,1.61941,0.98597,1.44426,0.99226,0.75,0.90995,0.52885,1.46544,0.96221,2.26734,0.0010411,0.0010411,0.0010411
100,1757.66,1.57729,0.96214,1.40046,0.88676,0.83333,0.90712,0.53947,1.40373,0.98974,2.22451,0.00102555,0.00102555,0.00102555
101,1774.35,1.62435,1.01088,1.4046,0.88271,0.83333,0.89991,0.5552,1.3189,1.03212,2.11212,0.00101,0.00101,0.00101
102,1792.4,1.5414,0.92225,1.35624,1,0.8268,0.90167,0.54961,1.37947,1.17846,2.1747,0.00099445,0.00099445,0.00099445
103,1809.3,1.60575,0.95525,1.40128,1,0.82496,0.89285,0.49044,1.50562,1.22523,2.37037,0.000978903,0.000978903,0.000978903
104,1826.05,1.65436,0.94564,1.45408,0.99658,0.75,0.88595,0.47963,1.47766,1.08358,2.35234,0.000963365,0.000963365,0.000963365
105,1843.68,1.49956,0.94586,1.40876,1,0.74333,0.89025,0.46212,1.58415,1.21085,2.4663,0.000947837,0.000947837,0.000947837
106,1861.16,1.59871,1.00014,1.47391,1,0.74368,0.88945,0.41691,1.68722,1.30981,2.53032,0.000932325,0.000932325,0.000932325
107,1877.25,1.55569,0.90917,1.41787,0.98784,0.66667,0.8686,0.40612,1.903,1.42649,2.74575,0.000916833,0.000916833,0.000916833
108,1894.24,1.64349,0.95287,1.44386,0.89944,0.74581,0.8923,0.35388,2.04059,1.46868,2.84365,0.000901363,0.000901363,0.000901363
109,1911.28,1.55616,0.93247,1.40659,0.94125,0.75,0.88625,0.36269,1.99839,1.56816,2.71269,0.00088592,0.00088592,0.00088592
110,1927.32,1.50905,0.89354,1.37057,0.76071,0.75,0.75762,0.32764,2.01054,1.41524,2.71256,0.000870508,0.000870508,0.000870508
